행정동_코드,행정동_코드_명,medical,education,shopping,bank,gov,culture,intercity,intracity
11380632,신사2동,5.0,5.0,0.0,0.0,4.0,0.0,0.0,36.0
11380631,신사1동,8.0,9.0,0.0,0.0,3.0,0.0,0.0,23.0
11380625,역촌동,20.0,3.0,0.0,5.0,5.0,0.0,0.0,51.0
11380600,응암3동,17.0,5.0,2.0,3.0,3.0,0.0,0.0,31.0
11380590,응암2동,11.0,3.0,0.0,1.0,3.0,0.0,0.0,37.0
11380580,응암1동,21.0,4.0,0.0,5.0,5.0,0.0,0.0,27.0
11380570,대조동,25.0,4.0,0.0,5.0,3.0,1.0,0.0,32.0
11380560,구산동,9.0,11.0,0.0,0.0,3.0,0.0,0.0,38.0
11380552,갈현2동,16.0,13.0,0.0,1.0,3.0,0.0,0.0,35.0
11380551,갈현1동,14.0,1.0,0.0,2.0,2.0,0.0,0.0,50.0
11380530,불광2동,5.0,7.0,3.0,1.0,6.0,0.0,0.0,32.0
11380520,불광1동,18.0,6.0,0.0,4.0,6.0,1.0,0.0,52.0
11380510,녹번동,14.0,4.0,1.0,3.0,8.0,1.0,0.0,37.0
11350720,상계10동,1.0,5.0,0.0,0.0,3.0,0.0,0.0,30.0
11350710,상계9동,6.0,8.0,0.0,4.0,3.0,0.0,0.0,18.0
11350700,상계8동,7.0,1.0,0.0,3.0,3.0,0.0,0.0,16.0
11350695,상계6?7동,31.0,10.0,0.0,11.0,9.0,1.0,0.0,40.0
11350670,상계5동,11.0,1.0,0.0,1.0,2.0,3.0,0.0,37.0
11350665,상계3?4동,9.0,6.0,0.0,1.0,4.0,2.0,0.0,12.0
11350640,상계2동,21.0,3.0,0.0,1.0,2.0,1.0,0.0,35.0
11350630,상계1동,14.0,9.0,0.0,2.0,5.0,1.0,0.0,39.0
11350625,중계2?3동,10.0,12.0,0.0,2.0,7.0,2.0,0.0,40.0
11350624,중계4동,14.0,7.0,0.0,3.0,2.0,0.0,0.0,6.0
11350621,중계1동,7.0,5.0,0.0,3.0,2.0,0.0,0.0,18.0
11350619,중계본동,7.0,8.0,0.0,2.0,5.0,0.0,0.0,21.0
11350612,하계2동,4.0,5.0,0.0,1.0,2.0,0.0,0.0,29.0
11350611,하계1동,10.0,24.0,0.0,3.0,4.0,0.0,0.0,41.0
11350600,공릉2동,15.0,77.0,1.0,6.0,7.0,0.0,0.0,64.0
11350595,공릉1동,25.0,7.0,1.0,6.0,4.0,0.0,0.0,57.0
11350580,월계3동,8.0,8.0,0.0,3.0,5.0,0.0,0.0,49.0
11350570,월계2동,5.0,23.0,0.0,0.0,4.0,0.0,0.0,65.0
11350560,월계1동,10.0,22.0,0.0,2.0,4.0,0.0,0.0,59.0
11320710,방학3동,6.0,7.0,0.0,3.0,3.0,0.0,0.0,47.0
11320700,방학2동,7.0,2.0,0.0,0.0,3.0,0.0,0.0,23.0
11320690,방학1동,17.0,5.0,0.0,6.0,6.0,0.0,0.0,40.0
11320681,쌍문4동,4.0,12.0,0.0,0.0,1.0,0.0,0.0,23.0
11320680,쌍문3동,13.0,1.0,0.0,3.0,3.0,1.0,0.0,18.0
11320670,쌍문2동,11.0,3.0,0.0,1.0,3.0,2.0,0.0,19.0
11320660,쌍문1동,5.0,22.0,0.0,1.0,6.0,0.0,0.0,54.0
11320522,도봉2동,7.0,5.0,0.0,3.0,8.0,1.0,0.0,52.0
11320521,도봉1동,9.0,8.0,1.0,1.0,4.0,0.0,0.0,38.0
11320515,창5동,15.0,4.0,0.0,3.0,7.0,2.0,0.0,26.0
11320514,창4동,8.0,6.0,0.0,4.0,7.0,0.0,0.0,51.0
11320513,창3동,7.0,3.0,1.0,0.0,1.0,0.0,0.0,25.0
11320512,창2동,9.0,2.0,0.0,0.0,3.0,0.0,0.0,44.0
11320511,창1동,7.0,5.0,0.0,2.0,3.0,0.0,0.0,29.0
11305660,인수동,17.0,11.0,1.0,2.0,13.0,0.0,0.0,57.0
11305645,우이동,7.0,4.0,0.0,0.0,2.0,0.0,0.0,57.0
11305635,수유3동,17.0,1.0,0.0,6.0,4.0,1.0,0.0,31.0
11305625,수유2동,12.0,3.0,0.0,0.0,3.0,0.0,0.0,16.0
11305615,수유1동,12.0,6.0,1.0,2.0,4.0,0.0,0.0,41.0
11305608,번3동,8.0,2.0,0.0,1.0,3.0,0.0,0.0,37.0
11305603,번2동,7.0,2.0,0.0,0.0,5.0,1.0,0.0,54.0
11305595,번1동,15.0,3.0,0.0,3.0,3.0,1.0,0.0,30.0
11305575,삼각산동,9.0,4.0,0.0,1.0,2.0,0.0,0.0,36.0
11305555,송천동,18.0,5.0,2.0,5.0,9.0,0.0,0.0,25.0
11305545,송중동,20.0,9.0,1.0,1.0,4.0,1.0,0.0,69.0
11305535,미아동,15.0,5.0,0.0,3.0,3.0,0.0,0.0,29.0
11305534,삼양동,14.0,6.0,0.0,1.0,4.0,0.0,0.0,37.0
11290810,석관동,16.0,6.0,1.0,3.0,6.0,2.0,0.0,34.0
11290780,장위3동,5.0,5.0,1.0,0.0,1.0,0.0,0.0,39.0
11290770,장위2동,11.0,4.0,0.0,2.0,3.0,0.0,0.0,28.0
11290760,장위1동,8.0,8.0,0.0,1.0,4.0,0.0,0.0,37.0
11290725,월곡2동,12.0,15.0,0.0,4.0,6.0,0.0,0.0,36.0
11290715,월곡1동,10.0,4.0,0.0,3.0,2.0,1.0,0.0,30.0
11290705,종암동,18.0,10.0,0.0,2.0,7.0,0.0,0.0,56.0
11290685,길음2동,17.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0
11290660,길음1동,10.0,7.0,1.0,4.0,3.0,0.0,0.0,27.0
11290650,정릉4동,12.0,16.0,0.0,3.0,7.0,0.0,0.0,41.0
11290640,정릉3동,2.0,33.0,0.0,1.0,4.0,0.0,0.0,38.0
11290630,정릉2동,6.0,3.0,0.0,3.0,4.0,0.0,0.0,51.0
11290620,정릉1동,6.0,3.0,0.0,0.0,2.0,0.0,0.0,19.0
11290610,보문동,6.0,2.0,0.0,4.0,4.0,1.0,0.0,12.0
11290600,안암동,12.0,74.0,0.0,6.0,4.0,0.0,0.0,36.0
11290590,돈암2동,4.0,7.0,0.0,2.0,4.0,1.0,0.0,38.0
11290580,돈암1동,2.0,7.0,0.0,0.0,1.0,0.0,0.0,15.0
11290575,동선동,14.0,18.0,0.0,4.0,1.0,1.0,0.0,20.0
11290555,삼선동,14.0,18.0,0.0,5.0,7.0,0.0,0.0,48.0
11290525,성북동,6.0,13.0,0.0,4.0,6.0,0.0,0.0,55.0
11260690,신내2동,12.0,7.0,0.0,3.0,6.0,0.0,0.0,21.0
11260680,신내1동,14.0,4.0,0.0,2.0,3.0,0.0,0.0,54.0
11260660,망우3동,4.0,3.0,3.0,1.0,1.0,0.0,0.0,11.0
11260655,망우본동,30.0,10.0,9.0,4.0,9.0,2.0,0.0,56.0
11260630,묵2동,7.0,2.0,0.0,4.0,3.0,1.0,0.0,20.0
11260620,묵1동,13.0,7.0,0.0,2.0,4.0,0.0,0.0,34.0
11260610,중화2동,14.0,0.0,2.0,3.0,2.0,0.0,0.0,35.0
11260600,중화1동,8.0,6.0,0.0,1.0,2.0,0.0,0.0,14.0
11260590,상봉2동,11.0,0.0,0.0,3.0,4.0,4.0,0.0,20.0
11260580,상봉1동,9.0,6.0,0.0,1.0,3.0,0.0,0.0,16.0
11260575,면목3?8동,18.0,14.0,0.0,1.0,4.0,1.0,0.0,35.0
11260570,면목7동,12.0,1.0,1.0,2.0,2.0,0.0,0.0,18.0
11260565,면목본동,18.0,3.0,13.0,2.0,4.0,1.0,0.0,31.0
11260550,면목5동,3.0,0.0,4.0,1.0,2.0,0.0,0.0,13.0
11260540,면목4동,5.0,3.0,0.0,0.0,2.0,0.0,0.0,16.0
11260520,면목2동,12.0,4.0,8.0,0.0,3.0,1.0,0.0,25.0
11230750,이문2동,6.0,4.0,0.0,0.0,2.0,0.0,0.0,18.0
11230740,이문1동,13.0,35.0,0.0,2.0,5.0,0.0,0.0,27.0
11230730,휘경2동,6.0,13.0,0.0,1.0,5.0,0.0,0.0,27.0
11230720,휘경1동,12.0,0.0,0.0,1.0,2.0,1.0,0.0,21.0
