행정동명,보증금(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
송파2동,34000,53.39,11710590,11,9,0,1,3,0,0,7,송파구,0.06401959935,0.7325086973,DANGER
수궁동,16000,57.19,11530790,5,10,1,1,3,0,0,72,구로구,0.04179710217,0.7291296625,NORMAL
수색동,62000,78.285,11380650,5,2,2,2,5,0,0,23,은평구,0.03980499635,0.765620143,NORMAL
수서동,47000,49.2,11680750,11,6,0,3,3,0,0,25,강남구,0.07556391443,0.7483215982,DANGER
수유1동,16000,47.45,11305615,12,6,1,2,4,0,0,41,강북구,0.02832254792,0.9003931848,SAFE
숭인2동,23000,27.3,11110710,5,0,2,3,4,3,0,8,종로구,0.03421225207,1.174683544,NORMAL
시흥1동,18800,49.75,11545670,28,7,0,7,9,3,0,53,금천구,0.02495700269,0.8477937531,SAFE
신길7동,35000,59.97,11560690,7,2,0,1,5,1,0,33,영등포구,0.051559658,0.8032157427,DANGER
신내1동,23000,59.88,11260680,14,4,0,2,3,0,0,54,중랑구,0.0392110766,0.7772167876,NORMAL
신당동,21373.5,24.15,11140615,13,5,3,5,7,1,0,10,중구,0.0365631844,0.7377326565,NORMAL
신대방1동,47750,59.936,11590670,10,6,0,1,3,0,0,16,동작구,0.03036414704,0.717196414,SAFE
신도림동,53000,66.03,11530510,12,6,2,4,5,2,0,46,구로구,0.04179710217,0.7291296625,NORMAL
신수동,51950,59.85,11440630,6,4,0,1,4,0,0,24,마포구,0.04814461946,0.7794911334,DANGER
신월3동,22435,52.85,11470580,7,7,0,1,2,0,0,8,양천구,0.03711998416,0.7043333333,NORMAL
신정1동,44100,66.24,11470620,9,5,0,3,7,0,0,26,양천구,0.03711998416,0.7043333333,NORMAL
신촌동,20000,23.45,11410585,23,115,1,10,6,7,0,62,서대문구,0.02541481582,0.723466407,SAFE
쌍문3동,24000,58.77,11320680,13,1,0,3,3,1,0,18,도봉구,0.02154196414,0.792073521,SAFE
안암동,14000,44.96,11290600,12,74,0,6,4,0,0,36,성북구,0.02702334847,0.8008241758,SAFE
암사1동,38201,59.891,11740570,8,3,1,1,2,0,0,13,강동구,0.04145064898,0.7492537313,NORMAL
