행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade
증산동,5000,55,48.96,11380640,8,4,2,0,3,0,0,17,은평구,0.03980499635,0.765620143,NORMAL
진관동,2984,57,24.91,11380690,22,18,0,6,6,1,0,82,은평구,0.03980499635,0.765620143,NORMAL
창2동,2000,60,39.92,11320512,9,2,0,0,3,0,0,44,도봉구,0.02154196414,0.792073521,SAFE
창신3동,1000,50,38.57,11110690,1,2,0,0,3,0,0,6,종로구,0.03421225207,1.174683544,NORMAL
천연동,5000,70,56.02,11410520,4,14,0,1,4,1,0,44,서대문구,0.02541481582,0.723466407,SAFE
천호2동,3000,50,29.865,11740610,27,3,0,3,4,3,0,22,강동구,0.04145064898,0.7492537313,NORMAL
청구동,3000,68,36.3,11140645,3,5,0,0,2,0,0,5,중구,0.0365631844,0.7377326565,NORMAL
청담동,10000,130,49.619,11680565,31,7,0,19,11,0,0,26,강남구,0.07556391443,0.7483215982,DANGER
청량리동,1000,79,23.14,11230705,17,6,0,4,9,2,0,34,동대문구,0.03979262302,0.7717661692,NORMAL
청운효자동,8000,65,46.74,11110515,4,14,0,3,6,0,0,26,종로구,0.03421225207,1.174683544,NORMAL
청파동,1000,55,24.92,11170555,12,30,1,2,7,1,0,35,용산구,0.0411041958,0.7450331126,NORMAL
충현동,4870,43,23.14,11410565,7,31,0,8,9,0,0,61,서대문구,0.02541481582,0.723466407,SAFE
평창동,10000,80,79.373,11110560,6,4,0,2,6,0,0,91,종로구,0.03421225207,1.174683544,NORMAL
풍납2동,5000,50,40,11710520,27,11,0,5,5,0,0,25,송파구,0.06401959935,0.7325086973,DANGER
필동,1000,55.5,24.355,11140570,8,22,0,9,6,3,0,17,중구,0.0365631844,0.7377326565,NORMAL
하계1동,3000,63,44.52,11350611,10,24,0,3,4,0,0,41,노원구,0.0383696903,0.7768461787,NORMAL
한강로동,10000,110,42.5,11170625,21,3,5,19,19,5,0,48,용산구,0.0411041958,0.7450331126,NORMAL
한남동,5000,250,59.5,11170685,14,4,3,11,30,0,0,38,용산구,0.0411041958,0.7450331126,NORMAL
합정동,3000,65,31,11440680,10,3,0,3,4,0,0,32,마포구,0.04814461946,0.7794911334,DANGER
항동,6583,34,59.86,11530800,2,12,0,0,1,0,0,37,구로구,0.04179710217,0.7291296625,NORMAL
행당2동,3000,65,29.43,11200570,4,4,0,2,2,0,0,25,성동구,0.02619433549,0.7132735002,SAFE
혜화동,1000,60,20.88,11110650,16,35,0,5,6,1,0,36,종로구,0.03421225207,1.174683544,NORMAL
홍은1동,1000,47,32.135,11410660,7,2,0,0,3,1,0,32,서대문구,0.02541481582,0.723466407,SAFE
홍제3동,5000,53,44.53,11410640,16,7,4,3,3,6,0,47,서대문구,0.02541481582,0.723466407,SAFE
화곡1동,3000,50,30,11500540,28,3,0,2,3,1,0,29,강서구,0.04959229884,0.8510479042,DANGER
화양동,1000,60,18.66,11215710,18,39,0,5,3,1,0,18,광진구,0.03551145152,0.7731707317,NORMAL
황학동,3000,70,26.46,11140670,10,0,0,6,1,7,0,6,중구,0.0365631844,0.7377326565,NORMAL
회기동,1000,55,20.34,11230710,11,20,0,5,3,0,0,10,동대문구,0.03979262302,0.7717661692,NORMAL
회현동,3000,60,28.85,11140540,16,3,2,17,9,3,0,41,중구,0.0365631844,0.7377326565,NORMAL
효창동,10000,67.5,52.275,11170580,5,3,0,1,1,0,0,24,용산구,0.0411041958,0.7450331126,NORMAL
후암동,3000,60,41.6,11170510,7,4,2,1,6,0,0,18,용산구,0.0411041958,0.7450331126,NORMAL
휘경2동,1000,55,19,11230730,6,13,0,1,5,0,0,27,동대문구,0.03979262302,0.7717661692,NORMAL
흑석동,2000,60,27,11590605,25,26,0,6,6,1,0,51,동작구,0.03036414704,0.717196414,SAFE
